lei,lender_name,apps_in_model,observed_denials,expected_denials,excess_denials,observed_expected_ratio,ratio_ci95_low,ratio_ci95_high,standardized_residual_z,profile_coverage_pct,flag
549300YIQ7S7Z8PIHE53,AMERISAVE MORTGAGE COMPANY,13143,8968,4485.6,4482.4,1.999,1.958,2.041,82.46,57.3,above_expectation_ci_excludes_1
549300ALNLUNS3Y53T24,AMERICAN FINANCING CORPORATION,9876,7032,3280.7,3751.3,2.143,2.094,2.194,80.14,89.3,above_expectation_ci_excludes_1
549300FNXYY540N23N64,NEWREZ LLC,18271,10599,6028.6,4570.4,1.758,1.725,1.792,71.91,80.2,above_expectation_ci_excludes_1
549300R9S3MVDV4MGF56,,12470,7185,3983.0,3202.0,1.804,1.762,1.846,61.5,77.7,above_expectation_ci_excludes_1
254900O723MCLR701H50,,931,895,191.4,703.6,4.676,4.375,4.993,57.06,93.0,above_expectation_ci_excludes_1
549300FGXN1K3HLB1R50,ROCKET MORTGAGE,76738,23184,18965.4,4218.6,1.222,1.207,1.238,35.3,79.9,above_expectation_ci_excludes_1
549300AG64NHILB7ZP05,loanDepot.com LLC,32282,11019,8315.4,2703.6,1.325,1.301,1.35,34.41,91.7,above_expectation_ci_excludes_1
549300XY701IELCE5Q08,,2093,1012,411.1,600.9,2.462,2.312,2.618,33.06,88.9,above_expectation_ci_excludes_1
549300JYXTZDSPJEPI44,,5777,2072,1121.0,951.0,1.848,1.77,1.93,31.64,93.9,above_expectation_ci_excludes_1
549300MZ8VZJOVC63092,"Kind Lending, LLC",10077,2734,1603.5,1130.5,1.705,1.642,1.77,30.79,94.0,above_expectation_ci_excludes_1
549300SUCQ1358EGVE89,,736,702,300.6,401.4,2.335,2.166,2.515,30.1,83.9,above_expectation_ci_excludes_1
5493008ZTV4S0W9DCX64,,1346,607,227.6,379.4,2.667,2.459,2.888,27.59,87.2,above_expectation_ci_excludes_1
549300FX7K8PTEQUU487,,757,484,171.0,313.0,2.83,2.584,3.094,27.2,93.7,above_expectation_ci_excludes_1
549300KBWX4NV5Q1E376,"NVR MORTGAGE FINANCE, INC.",7046,2429,1527.4,901.6,1.59,1.528,1.655,26.07,95.8,above_expectation_ci_excludes_1
SS1TRMSN6BRNMOREEV51,Flagstar Bank NA,2670,1066,536.5,529.5,1.987,1.869,2.11,25.57,91.0,above_expectation_ci_excludes_1
